MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB,source_file
ATS-EXL76-1220-R1,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.575"" (40.00mm)","3.677"" (93.40mm)","48.032"" (1220.00mm)",8629.4,digikey_tim_data.csv
ATS-EXL100-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.319"" (33.50mm)","5.118"" (130.00mm)","48.032"" (1220.00mm)",11054.55,digikey_tim_data.csv
65-00-GEL50VT-0300,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 300cc Syringe,5.20W/m-K,,,,11792.3,digikey_tim_data.csv
1188135,LOCTITE,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part (Order Catalyst Separately) 20 lb Container",2.78W/m-K,,,,14655.55,digikey_tim_data.csv
ATS-EXL105-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.949"" (49.50mm)","13.465"" (342.00mm)","48.032"" (1220.00mm)",23166.98,digikey_tim_data.csv
C220-050-2VE,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-220 Aluminum Board Level, Vertical",,"0.710"" (18.03mm)","1.500"" (38.10mm)","1.969"" (50.00mm)",275.93,digikey_tim_data.csv
ATS-EXL66-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.157"" (4.00mm)","1.000"" (25.40mm)","11.811"" (300.00mm)",402.35,digikey_tim_data.csv
ATS-EXL71-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.315"" (8.00mm)","1.457"" (37.00mm)","11.811"" (300.00mm)",575.58,digikey_tim_data.csv
ATS-EXL62-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.689"" (17.50mm)","0.955"" (24.26mm)","11.811"" (300.00mm)",724.43,digikey_tim_data.csv
ATS-EXL65-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.984"" (25.00mm)","1.614"" (41.00mm)","11.811"" (300.00mm)",755.3,digikey_tim_data.csv
ATS-EXL64-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.866"" (22.00mm)","0.984"" (25.00mm)","11.811"" (300.00mm)",908.7,digikey_tim_data.csv
ATS-EXL84-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.984"" (25.00mm)","2.756"" (70.00mm)","11.811"" (300.00mm)",1084.2,digikey_tim_data.csv
ATS-EXL66-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.157"" (4.00mm)","1.000"" (25.40mm)","48.032"" (1220.00mm)",1322.1,digikey_tim_data.csv
ATS-EXL99-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.358"" (34.50mm)","3.937"" (100.00mm)","11.811"" (300.00mm)",1520.03,digikey_tim_data.csv
ATS-EXL59-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.630"" (16.00mm)","0.551"" (14.00mm)","48.032"" (1220.00mm)",1598.03,digikey_tim_data.csv
ATS-EXL67-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.531"" (13.50mm)","1.083"" (27.50mm)","48.032"" (1220.00mm)",1791.4,digikey_tim_data.csv
ATS-EXL104-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.350"" (34.29mm)","4.245"" (107.82mm)","11.811"" (300.00mm)",1919.13,digikey_tim_data.csv
ATS-EXL121-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.551"" (14.00mm)","2.362"" (60.00mm)","11.811"" (300.00mm)",1937.33,digikey_tim_data.csv
ATS-EXL103-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.323"" (33.60mm)","4.528"" (115.00mm)","11.811"" (300.00mm)",1993.23,digikey_tim_data.csv
ATS-EXL116-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.673"" (42.50mm)","2.031"" (51.60mm)","11.811"" (300.00mm)",2248.68,digikey_tim_data.csv
846-1P,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 1 Pint Jar,-,,,,2435.88,digikey_tim_data.csv
ATS-EXL62-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.689"" (17.50mm)","0.955"" (24.26mm)","48.032"" (1220.00mm)",2578.55,digikey_tim_data.csv
ATS-EXL65-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.984"" (25.00mm)","1.614"" (41.00mm)","48.032"" (1220.00mm)",2718.63,digikey_tim_data.csv
A16872-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Liquid Gap Filler 75cc Cartridge,2.30W/m-K,,,,2723.18,digikey_tim_data.csv
ATS-EXL72-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.260"" (6.60mm)","1.604"" (40.75mm)","48.032"" (1220.00mm)",3082.63,digikey_tim_data.csv
ATS-EXL73-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.394"" (10.00mm)","1.772"" (45.00mm)","48.032"" (1220.00mm)",3303.3,digikey_tim_data.csv
ATS-EXL110-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.772"" (45.00mm)","7.874"" (200.00mm)","11.811"" (300.00mm)",3574.35,digikey_tim_data.csv
ATS-EXL75-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.728"" (18.50mm)","2.976"" (75.60mm)","48.032"" (1220.00mm)",4060.23,digikey_tim_data.csv
2761872,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 400cc Cartridge",3.00W/m-K,,,,10337.6,digikey_tim_data.csv
TG-A7000-1000,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Silicone Putty 1 kg Container,7.00W/m-K,,,,13479.7,digikey_tim_data.csv
TG-N8000-330CC,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 330cc Syringe,8.00W/m-K,,,,15291.9,digikey_tim_data.csv
CR101-75VE,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-101 Aluminum Alloy Board Level, Vertical",,-,"1.969"" (50.00mm)","2.953"" (75.00mm)",204.43,digikey_tim_data.csv
ATS-EXL72-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.260"" (6.60mm)","1.604"" (40.75mm)","11.811"" (300.00mm)",955.5,digikey_tim_data.csv
ATS-EXL61-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.236"" (6.00mm)","0.591"" (15.00mm)","48.032"" (1220.00mm)",1253.2,digikey_tim_data.csv
ATS-EXL70-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.402"" (35.60mm)","1.417"" (36.00mm)","11.811"" (300.00mm)",1339.33,digikey_tim_data.csv
ATS-EXL118-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.484"" (12.30mm)","1.996"" (50.70mm)","11.811"" (300.00mm)",1501.5,digikey_tim_data.csv
ATS-EXL60-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.992"" (25.20mm)","0.547"" (13.89mm)","48.032"" (1220.00mm)",1844.05,digikey_tim_data.csv
ATS-EXL71-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.315"" (8.00mm)","1.457"" (37.00mm)","48.032"" (1220.00mm)",2085.2,digikey_tim_data.csv
ATS-EXL113-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.181"" (30.00mm)","1.575"" (40.00mm)","48.032"" (1220.00mm)",2223.33,digikey_tim_data.csv
ATS-EXL114-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.181"" (30.00mm)","3.150"" (80.00mm)","11.811"" (300.00mm)",2252.25,digikey_tim_data.csv
ATS-EXL63-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.378"" (35.00mm)","0.984"" (25.00mm)","48.032"" (1220.00mm)",3057.6,digikey_tim_data.csv
ATS-EXL69-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.122"" (28.50mm)","1.417"" (36.00mm)","48.032"" (1220.00mm)",3095.3,digikey_tim_data.csv
ATS-EXL64-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.866"" (22.00mm)","0.984"" (25.00mm)","48.032"" (1220.00mm)",3355.95,digikey_tim_data.csv
ATS-EXL68-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.984"" (25.00mm)","2.010"" (51.00mm)","48.032"" (1220.00mm)",3546.08,digikey_tim_data.csv
ATS-EXL70-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.402"" (35.60mm)","1.417"" (36.00mm)","48.032"" (1220.00mm)",3639.35,digikey_tim_data.csv
ATS-EXL7-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.551"" (14.00mm)","3.976"" (101.00mm)","48.032"" (1220.00mm)",4560.73,digikey_tim_data.csv
ATS-EXL118-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.484"" (12.30mm)","1.996"" (50.70mm)","48.032"" (1220.00mm)",5093.4,digikey_tim_data.csv
ATS-EXL78-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.299"" (7.60mm)","5.748"" (146.00mm)","48.032"" (1220.00mm)",6262.1,digikey_tim_data.csv
ATS-EXL121-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.551"" (14.00mm)","2.362"" (60.00mm)","48.032"" (1220.00mm)",7061.93,digikey_tim_data.csv
ATS-EXL104-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.350"" (34.29mm)","4.245"" (107.82mm)","48.032"" (1220.00mm)",9384.38,digikey_tim_data.csv
ATS-EXL103-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.323"" (33.60mm)","4.528"" (115.00mm)","48.032"" (1220.00mm)",9867.0,digikey_tim_data.csv
ATS-EXL102-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.063"" (27.00mm)","7.047"" (179.00mm)","48.032"" (1220.00mm)",11922.3,digikey_tim_data.csv
65-02-GREASE15-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 30cc Cartridge,1.50W/m-K,,,,1404.98,digikey_tim_data.csv
SANG-CNN090,Littelfuse/Menbers,Relays,Interface SRP1-CE Series,,,,,1452.75,digikey_tim_data.csv
65-02-GREASE30-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 30cc Cartridge,3.00W/m-K,,,,1478.43,digikey_tim_data.csv
65-00-GEL75VT-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 10cc Syringe,7.50W/m-K,,,,1754.68,digikey_tim_data.csv
TG-ASD35AB-50CC,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal,,,,,3040.7,digikey_tim_data.csv
A18876-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal,,,,,3062.8,digikey_tim_data.csv
TG-ASD50AB-50CC,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal,,,,,3384.23,digikey_tim_data.csv
A18876-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal,,,,,4125.23,digikey_tim_data.csv
65-00-GREASE15-0160,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 160cc Container,1.50W/m-K,,,,4322.5,digikey_tim_data.csv
65-00-GREASE30-0160,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 160cc Container,3.00W/m-K,,,,4549.03,digikey_tim_data.csv
65-00-GREASE50-0160,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 160cc Container,5.00W/m-K,,,,4774.25,digikey_tim_data.csv
A18835-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Liquid Gap Filler 200cc Cartridge,5.40W/m-K,,,,4816.83,digikey_tim_data.csv
65-00-GREASE70-0160,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 160cc Container,7.00W/m-K,,,,4909.45,digikey_tim_data.csv
A18876-03,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal,,,,,4946.83,digikey_tim_data.csv
65-02-GEL75VT-0180,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 180cc Cartridge,7.50W/m-K,,,,7977.13,digikey_tim_data.csv
A18876-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal,,,,,8275.48,digikey_tim_data.csv
A18835-03,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Liquid Gap Filler 400cc Cartridge,5.40W/m-K,,,,8384.68,digikey_tim_data.csv
A18876-05,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal,,,,,9829.3,digikey_tim_data.csv
TG-ASD35AB-1000,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal,,,,,9917.38,digikey_tim_data.csv
SILVGREASE1,StarTech.com,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 1.5 gram Syringe,1.93W/m-K,,,,264.55,digikey_tim_data.csv
HEATGREASE20,StarTech.com,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 20 gram Tube,1.07W/m-K,,,,301.93,digikey_tim_data.csv
K5-PRO-10G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,758.55,digikey_tim_data.csv
G3380A-110,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,853.13,digikey_tim_data.csv
K5-PRO-20G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,868.4,digikey_tim_data.csv
X-PUTTY-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,3.00W/m-K,,,,912.93,digikey_tim_data.csv
PK223DM-110,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 110 gram Cartridge",2.00W/m-K,,,,1008.15,digikey_tim_data.csv
U6-PRO-10G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,1031.23,digikey_tim_data.csv
H-PUTTY-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,3.50W/m-K,,,,1283.1,digikey_tim_data.csv
K5-PRO-30G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,1406.28,digikey_tim_data.csv
NL-PUTTY04-75,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal 30 ml Cartridge,,,,,1625.0,digikey_tim_data.csv
G3380K-130,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,1690.0,digikey_tim_data.csv
G3380NJ-130,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,1828.13,digikey_tim_data.csv
65-02-GEL20-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Gel Gap Filler 30cc Cartridge,2.4W/m-K,,,,1851.53,digikey_tim_data.csv
DTT06-90,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,1909.38,digikey_tim_data.csv
X-PUTTY-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,3.00W/m-K,,,,1936.35,digikey_tim_data.csv
EPDM20-135,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",2.2W/m-K,,,,2077.4,digikey_tim_data.csv
N-PUTTY2-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 100 gram Cartridge,5.00W/m-K,,,,2138.5,digikey_tim_data.csv
G3380NK-130,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,2193.75,digikey_tim_data.csv
NL-PUTTY06-90,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal 30 ml Cartridge,,,,,2193.75,digikey_tim_data.csv
PK223DM-110-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 110 gram Cartridge",2.00W/m-K,,,,2218.13,digikey_tim_data.csv
GCS-018-GS-WE-1KG,European Thermodynamics Ltd,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 1 kg Container,1.80W/m-K,,,,2227.23,digikey_tim_data.csv
S-PUTTY-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,3.50W/m-K,,,,2241.85,digikey_tim_data.csv
N-PUTTY-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 100 gram Cartridge,3.50W/m-K,,,,2245.43,digikey_tim_data.csv
H-PUTTY-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,3.50W/m-K,,,,2306.85,digikey_tim_data.csv
G3380NC-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 100 gram Cartridge,4.50W/m-K,,,,2352.35,digikey_tim_data.csv
G3380T-130,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,2380.63,digikey_tim_data.csv
U6-PRO-50G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,2448.88,digikey_tim_data.csv
UX-PRO-20G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,2500.23,digikey_tim_data.csv
G3380NT-130,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,2559.38,digikey_tim_data.csv
S-PUTTY2-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,6.00W/m-K,,,,2765.1,digikey_tim_data.csv
H-PUTTY2-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,6.00W/m-K,,,,2856.43,digikey_tim_data.csv
G3380NA-120-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 120 gram Cartridge,1.30W/m-K,,,,2859.68,digikey_tim_data.csv
GCS-NSP30-100ML,European Thermodynamics Ltd,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 100 ml Syringe,3.00W/m-K,,,,3065.73,digikey_tim_data.csv
N-PUTTY2-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 100 gram Cartridge,5.00W/m-K,,,,3161.93,digikey_tim_data.csv
EPDM20-135-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",2.2W/m-K,,,,3287.38,digikey_tim_data.csv
GCS-NSP75 - 50ML,European Thermodynamics Ltd,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 50 ml Syringe,7.50W/m-K,,,,3313.7,digikey_tim_data.csv
G3380D-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Grease 100 gram Cartridge,6.00W/m-K,,,,3348.15,digikey_tim_data.csv
PK404DM-150-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 150 gram Cartridge",3.60W/m-K,,,,3500.9,digikey_tim_data.csv
G3380NC-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 100 gram Cartridge,4.50W/m-K,,,,3562.0,digikey_tim_data.csv
U6-PRO-100G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,3715.73,digikey_tim_data.csv
DTT10-90,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,3900.0,digikey_tim_data.csv
PK605DM-160,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 160 gram Cartridge",5.00W/m-K,,,,4154.8,digikey_tim_data.csv
EPDM30-135-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",3.00W/m-K,,,,4203.88,digikey_tim_data.csv
UX-PRO-50G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,4264.33,digikey_tim_data.csv
TT3000-150,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Grease 150 gram Cartridge,6.00W/m-K,,,,4353.38,digikey_tim_data.csv
D2000-140-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Silicone Grease, 2 Part 140 gram Cartridge",2.00W/m-K,,,,4845.43,digikey_tim_data.csv
N-PUTTY3-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,4854.85,digikey_tim_data.csv
N-PUTTY5-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,4915.63,digikey_tim_data.csv
DTT13-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,5200.0,digikey_tim_data.csv
PK605DM-160-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 160 gram Cartridge",5.00W/m-K,,,,5364.45,digikey_tim_data.csv
N-PUTTY5-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,5931.25,digikey_tim_data.csv
65-02-GEL20-0180,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Gel Gap Filler 180cc Cartridge,2.4W/m-K,,,,6594.9,digikey_tim_data.csv
PK700DM-140,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50 ml, 400 ml Cartridges",7.00W/m-K,,,,7484.75,digikey_tim_data.csv
